State,Year,Weighted_Severity_Score
VT,2021,2.9702970297029703
VT,2022,2.864864864864865
WA,2016,2.6663424124513617
WA,2017,2.7511399219908808
WA,2018,2.83549140309913
WA,2019,2.9774523160762945
WA,2020,2.644131383508154
WA,2021,2.548041264918077
WA,2022,2.3008419408037497
WA,2023,2.0893129770992367
WI,2016,2.832258064516129
WI,2017,3.2663070132417853
WI,2018,3.3747007182761375
WI,2019,2.9145436016887465
WI,2020,3.091256691307673
WI,2021,3.0419322375041933
WI,2022,2.2777280057337395
WI,2023,2.085714285714286
WV,2016,2.813238770685579
WV,2017,3.157593123209169
WV,2018,3.0319634703196345
WV,2019,2.9657387580299788
WV,2020,2.310344827586207
WV,2021,2.1258482418260334
WV,2022,2.0767727526521496
WV,2023,2.0309677419354837
WY,2016,3.6911764705882355
WY,2017,3.857142857142857
WY,2018,3.871794871794872
WY,2019,3.9
WY,2020,3.962962962962963
WY,2021,2.342857142857143
WY,2022,2.298187808896211
WY,2023,2.3846153846153846
